family	genus	species	taxid	segment	refseqs	neighbor-count
Coronaviridae	Deltacoronavirus	Wigeon coronavirus HKU20	1159908	None	NC_016995	1
Coronaviridae	Gammacoronavirus	Avian coronavirus	694014	None	NC_010800,NC_001451	391
Coronaviridae	Gammacoronavirus	Beluga whale coronavirus SW1	694015	None	NC_010646	4
Coronaviridae	Torovirus	Goat torovirus	1837217	None	NC_034976	1
Deltavirus	unknown	Avian HDV-like agent	2364132	None	NC_040845	1
Deltavirus	unknown	Hepatitis delta virus	12475	None	NC_001653	470
Deltavirus	unknown	Snake deltavirus F18-5	2419666	None	NC_040729	1
Filoviridae	Cuevavirus	Lloviu cuevavirus	1513237	None	NC_016144	1
Filoviridae	Ebolavirus	Bombali ebolavirus	2010960	None	NC_039345	3
Filoviridae	Ebolavirus	Bundibugyo ebolavirus	565995	None	NC_014373	10
Filoviridae	Ebolavirus	Reston ebolavirus	186539	None	NC_004161	20
Filoviridae	Ebolavirus	Sudan ebolavirus	186540	None	NC_006432	19
Filoviridae	Ebolavirus	Tai Forest ebolavirus	186541	None	NC_014372	3
Filoviridae	Ebolavirus	Zaire ebolavirus	186538	None	NC_002549	1525
Filoviridae	Marburgvirus	Marburg marburgvirus	11269	None	NC_024781,NC_001608	88
Flaviviridae	unknown	Lumpfish flavivirus	2050971	None	NC_040555	1
Flaviviridae	unknown	Mogiana tick virus	1172985	4	NC_024111	12
Flaviviridae	unknown	Mogiana tick virus	1172985	2	NC_024112	14
Flaviviridae	unknown	Mogiana tick virus	1172985	1	NC_024113	12
Flaviviridae	unknown	Mogiana tick virus	1172985	3	NC_024114	13
Flaviviridae	Flavivirus	Aedes flavivirus	390845	None	NC_012932	3
Flaviviridae	Flavivirus	Apoi virus	64280	None	NC_003676	1
Flaviviridae	Flavivirus	Aroa virus	64303	None	NC_009026	4
Flaviviridae	Flavivirus	Bagaza virus	64290	None	NC_012534	19
Flaviviridae	Flavivirus	Banzi virus	38837	None	NC_043110	1
Flaviviridae	Flavivirus	Bouboui virus	64295	None	NC_033693	1
Flaviviridae	Flavivirus	Cacipacore virus	64305	None	NC_026623	1
Flaviviridae	Flavivirus	Cell fusing agent virus	31658	None	NC_001564	5
Flaviviridae	Flavivirus	Chaoyang virus	631267	None	NC_017086	3
Flaviviridae	Flavivirus	Culex flavivirus	390844	None	NC_008604	29
Flaviviridae	Flavivirus	Dengue virus	12637	None	NC_001474,NC_001474,NC_002640,NC_001475,NC_001477	5617
Flaviviridae	Flavivirus	Donggang virus	985683	None	NC_016997	1
Flaviviridae	Flavivirus	Edge Hill virus	64296	None	NC_030289	1
Flaviviridae	Flavivirus	Entebbe bat virus	64283	None	NC_008718	3
Flaviviridae	Flavivirus	Gadgets Gully virus	64307	None	NC_033723	1
Flaviviridae	Flavivirus	Hanko virus	1125677	None	NC_030401	1
Flaviviridae	Flavivirus	Ilheus virus	59563	None	NC_009028,NC_040776,NC_009028	4
Flaviviridae	Flavivirus	Israel turkey meningoencephalomyelitis virus	64291	None	NC_043115	7
Flaviviridae	Flavivirus	Japanese encephalitis virus	11072	None	NC_001437	343
Flaviviridae	Flavivirus	Jugra virus	64309	None	NC_033699	1
Flaviviridae	Flavivirus	Jutiapa virus	64299	None	NC_026620	1
Flaviviridae	Flavivirus	Kadam virus	64310	None	NC_033724	1
Flaviviridae	Flavivirus	Kamiti River virus	218849	None	NC_005064	2
Flaviviridae	Flavivirus	Kedougou virus	64311	None	NC_012533	2
Flaviviridae	Flavivirus	Kokobera virus	44024	None	NC_009029,NC_032088,NC_032088,NC_009029	6
Flaviviridae	Flavivirus	Kyasanur Forest disease virus	33743	None	NC_039218	29
Flaviviridae	Flavivirus	Langat virus	11085	None	NC_003690	4
Flaviviridae	Flavivirus	Louping ill virus	11086	None	NC_001809	26
Flaviviridae	Flavivirus	Meaban virus	35279	None	NC_033721	1
Flaviviridae	Flavivirus	Mercadeo virus	1708574	None	NC_027819	2
Flaviviridae	Flavivirus	Modoc virus	64300	None	NC_003635	1
Flaviviridae	Flavivirus	Montana myotis leukoencephalitis virus	64312	None	NC_004119	1
Flaviviridae	Flavivirus	Murray Valley encephalitis virus	11079	None	NC_000943	18
Flaviviridae	Flavivirus	Nounane virus	486494	None	NC_033715	2
Flaviviridae	Flavivirus	Ntaya virus	64292	None	NC_018705	2
Flaviviridae	Flavivirus	Ochlerotatus caspius flavivirus	1244565	None	NC_034242	1
Flaviviridae	Flavivirus	Omsk hemorrhagic fever virus	12542	None	NC_005062	4
Flaviviridae	Flavivirus	Palm Creek virus	1302179	None	NC_033694	1
Flaviviridae	Flavivirus	Paraiso Escondido virus	1566298	None	NC_027999	1
Flaviviridae	Flavivirus	Parramatta River virus	1708654	None	NC_027817	1
Flaviviridae	Flavivirus	Phnom Penh bat virus	64894	None	NC_034007	1
Flaviviridae	Flavivirus	Powassan virus	11083	None	NC_003687	26
Flaviviridae	Flavivirus	Quang Binh virus	643132	None	NC_021069,NC_012671	9
Flaviviridae	Flavivirus	Rio Bravo virus	64285	None	NC_003675	2
Flaviviridae	Flavivirus	Royal Farm virus	64288	None	NC_039219	4
Flaviviridae	Flavivirus	Saboya virus	64284	None	NC_029054,NC_033697	1
Flaviviridae	Flavivirus	Saint Louis encephalitis virus	11080	None	NC_007580	17
Flaviviridae	Flavivirus	Saumarez Reef virus	40012	None	NC_033726	1
Flaviviridae	Flavivirus	Sepik virus	44026	None	NC_008719	3
Flaviviridae	Flavivirus	Sokoluk virus	64317	None	NC_026624	1
Flaviviridae	Flavivirus	Spanish goat encephalitis virus	1691889	None	NC_027709	1
Flaviviridae	Flavivirus	Spondweni virus	64318	None	NC_029055	16
Flaviviridae	Flavivirus	T'Ho virus	577122	None	NC_034151	1
Flaviviridae	Flavivirus	Tamana bat virus	161675	None	NC_003996	2
Flaviviridae	Flavivirus	Tembusu virus	64293	None	NC_015843	131
Flaviviridae	Flavivirus	Tick-borne encephalitis virus	11084	None	NC_001672	198
Flaviviridae	Flavivirus	Uganda S virus	64297	None	NC_033698	1
Flaviviridae	Flavivirus	Usutu virus	64286	None	NC_006551	152
Flaviviridae	Flavivirus	Wesselsbron virus	164416	None	NC_012735	6
Flaviviridae	Flavivirus	West Nile virus	11082	None	NC_001563,NC_009942	1820
Flaviviridae	Flavivirus	Yaounde virus	64319	None	NC_034018	1
Flaviviridae	Flavivirus	Yellow fever virus	11089	None	NC_002031	223
Flaviviridae	Flavivirus	Yokose virus	64294	None	NC_005039	2
Flaviviridae	Flavivirus	Zika virus	64320	None	NC_035889,NC_012532	696
Flaviviridae	Hepacivirus	Bat hepacivirus	1325446	None	NC_031947	1
Flaviviridae	Hepacivirus	Bovine hepacivirus	1633878	None	NC_026797	9
Flaviviridae	Hepacivirus	Equine hepacivirus	1281455	None	NC_024889	20
Flaviviridae	Hepacivirus	Hepacivirus A	2008761	None	NC_038425	1
Flaviviridae	Hepacivirus	Hepacivirus B	2008762	None	NC_038426	1
Flaviviridae	Hepacivirus	Hepacivirus C	11103	None	NC_030791,NC_009827,NC_009825,NC_009824,NC_004102,NC_038882,NC_004102,NC_009827,NC_009826,NC_009825,NC_038882,NC_009824,NC_009823,NC_030791	2205
Flaviviridae	Hepacivirus	Hepacivirus D	2008763	None	NC_031950	2
Flaviviridae	Hepacivirus	Hepacivirus F	2008765	None	NC_038427	5
Flaviviridae	Hepacivirus	Hepacivirus G	2008766	None	NC_025672	2
Flaviviridae	Hepacivirus	Hepacivirus H	2008767	None	NC_025673	1
Flaviviridae	Hepacivirus	Hepacivirus I	2008768	None	NC_038428	1
Flaviviridae	Hepacivirus	Hepacivirus J	2008769	None	NC_038429	1
Flaviviridae	Hepacivirus	Hepacivirus K	2008770	None	NC_038430	1
Flaviviridae	Hepacivirus	Hepacivirus L	2008771	None	NC_031916	1
Flaviviridae	Hepacivirus	Hepacivirus M	2008772	None	NC_038431	1
Flaviviridae	Hepacivirus	Hepacivirus N	2008773	None	NC_038432	3
Flaviviridae	Hepacivirus	Hepacivirus P	2202225	None	NC_040815	1
Flaviviridae	Hepacivirus	Hepatitis GB virus B	39113	None	NC_001655	9
Flaviviridae	Hepacivirus	Rodent hepacivirus	1281454	None	NC_021153	3
Flaviviridae	Hepacivirus	Wenling shark virus	1746066	None	NC_028377	1
Flaviviridae	Pegivirus	Norway rat pegivirus	1562065	None	NC_025679	1
Flaviviridae	Pegivirus	Pegivirus A	1307800	None	NC_024377	65
Flaviviridae	Pegivirus	Pegivirus B	1307801	None	NC_030291	1
Flaviviridae	Pegivirus	Pegivirus C	1985356	None	NC_001710	81
Flaviviridae	Pegivirus	Pegivirus D	1985357	None	NC_038433	5
Flaviviridae	Pegivirus	Pegivirus E	1985358	None	NC_020902	1
Flaviviridae	Pegivirus	Pegivirus F	1985359	None	NC_038434	1
Flaviviridae	Pegivirus	Pegivirus G	1985360	None	NC_038435	1
Flaviviridae	Pegivirus	Pegivirus H	1985361	None	NC_027998,NC_038436,NC_038436,NC_027998	20
Flaviviridae	Pegivirus	Pegivirus I	1985362	None	NC_038437	1
Flaviviridae	Pegivirus	Pegivirus K	1985364	None	NC_034442	1
Flaviviridae	Pegivirus	Rodent pegivirus	1321391	None	NC_021154	1
Flaviviridae	Pestivirus	Atypical porcine pestivirus	1914447	None	NC_030653	42
Flaviviridae	Pestivirus	Linda virus	2014960	None	NC_035432	1
Flaviviridae	Pestivirus	Norway rat pestivirus	1562066	None	NC_025677	1
Flaviviridae	Pestivirus	Pestivirus A	2170080	None	NC_001461	92
Flaviviridae	Pestivirus	Pestivirus B	2170081	None	NC_039237	100
Flaviviridae	Pestivirus	Pestivirus C	2170082	None	NC_002657,NC_038912	187
Flaviviridae	Pestivirus	Pestivirus D	2170083	None	NC_003679	15
Flaviviridae	Pestivirus	Pestivirus E	2170084	None	NC_024018	1
Flaviviridae	Pestivirus	Pestivirus F	2170085	None	NC_023176	4
Flaviviridae	Pestivirus	Pestivirus G	2170086	None	NC_003678	1
Flaviviridae	Pestivirus	Pestivirus H	2170087	None	NC_012812	15
Flaviviridae	Pestivirus	Pestivirus I	2170088	None	NC_018713	2
Flaviviridae	Pestivirus	Pestivirus K	2170090	None	NC_038964	3
Genomoviridae	unknown	Alces alces faeces associated circular virus MP65	2219143	None	NC_040327	1
Genomoviridae	unknown	Gopherus associated genomovirus 1	2041417	None	NC_040317	1
Genomoviridae	unknown	Lepus americanus faeces associated genomovirus SHP111	2219118	None	NC_040348	1
Genomoviridae	unknown	Lepus americanus faeces associated genomovirus SHP7	2219120	None	NC_040340	1
Genomoviridae	unknown	Lynx canadensis faeces associated genomovirus CL1 148	2219123	None	NC_040371	1
Genomoviridae	unknown	Lynx canadensis faeces associated genomovirus CL1 48	2219125	None	NC_040372	1
Genomoviridae	Gemycircularvirus	Blackbird associated gemycircularvirus 1	1985371	None	NC_025741	1
Genomoviridae	Gemycircularvirus	Bovine associated gemycircularvirus 1	1985372	None	NC_030146	1
Genomoviridae	Gemycircularvirus	Chickadee associated gemycircularvirus 1	1985375	None	NC_027776	1
Genomoviridae	Gemycircularvirus	Chicken associated gemycircularvirus 1	1985376	None	NC_030141	3
Genomoviridae	Gemycircularvirus	Chicken associated gemycircularvirus 2	1985377	None	NC_030140	1
Genomoviridae	Gemycircularvirus	Chicken stool-associated gemycircularvirus	1930298	None	NC_033270	2
Genomoviridae	Gemycircularvirus	Equine associated gemycircularvirus 1	1985379	None	NC_030143	1
Genomoviridae	Gemycircularvirus	Fur seal associated gemycircularvirus 1	1985380	None	NC_025736	2
Genomoviridae	Gemycircularvirus	Gemycircularvirus HV-GcV1	1862824	None	NC_030447	1
Genomoviridae	Gemycircularvirus	Gemycircularvirus sp.	1983771	None	NC_040379	1
Genomoviridae	Gemycircularvirus	Gerygone associated gemycircularvirus 1	1985381	None	NC_025734	1
Genomoviridae	Gemycircularvirus	Gerygone associated gemycircularvirus 2	1985382	None	NC_025735	1
Genomoviridae	Gemycircularvirus	Gerygone associated gemycircularvirus 3	1985383	None	NC_025737	1
Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	2016461	None	NC_035197	15
Genomoviridae	Gemycircularvirus	Lama associated gemycircularvirus 1	1985385	None	NC_030142	2
Genomoviridae	Gemycircularvirus	Mallard associated gemycircularvirus 1	1985386	None	NC_025733	1
Genomoviridae	Gemycircularvirus	Miniopterus associated gemycircularvirus 1	1985387	None	NC_038480	1
Genomoviridae	Gemycircularvirus	Mongoose associated gemycircularvirus 1	1985388	None	NC_026810	1
Genomoviridae	Gemycircularvirus	Mongoose feces-associated gemycircularvirus a	1634485	None	NC_026807	1
Genomoviridae	Gemycircularvirus	Mongoose feces-associated gemycircularvirus c	1634488	None	NC_026809	1
Genomoviridae	Gemycircularvirus	Porcine associated gemycircularvirus 1	1985393	None	NC_030145	1
Genomoviridae	Gemycircularvirus	Porcine associated gemycircularvirus 2	1985394	None	NC_025738	1
Genomoviridae	Gemycircularvirus	Porcine feces-associated gemycircularvirus	2017712	None	NC_035477	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 1	1985395	None	NC_038484	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 10	1985404	None	NC_038493	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 2	1985396	None	NC_038485	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 3	1985397	None	NC_038486	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 4	1985398	None	NC_038487	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 5	1985399	None	NC_038488	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 6	1985400	None	NC_038489	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 7	1985401	None	NC_038490	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 8	1985402	None	NC_038491	1
Genomoviridae	Gemycircularvirus	Pteropus associated gemycircularvirus 9	1985403	None	NC_038492	1
Genomoviridae	Gemycircularvirus	Rat associated gemycircularvirus 1	1985405	None	NC_027821	1
Genomoviridae	Gemycircularvirus	Sewage associated gemycircularvirus 3	1843761	None	NC_030139	1
Genomoviridae	Gemycircularvirus	Sheep associated gemycircularvirus 1	1985412	None	NC_030144	2
Genomoviridae	Gemygorvirus	Canine associated gemygorvirus 1	1985425	None	NC_030147	1
Genomoviridae	Gemygorvirus	Mallard associated gemygorvirus 1	1985426	None	NC_030138	2
Genomoviridae	Gemygorvirus	Pteropus associated gemygorvirus 1	1985427	None	NC_038495	1
Genomoviridae	Gemygorvirus	Sewage derived gemygorvirus 1	1985428	None	NC_026161,NC_026817,NC_026817,NC_026161	2
Genomoviridae	Gemygorvirus	Starling associated gemygorvirus 1	1985429	None	NC_025730	1
Genomoviridae	Gemykibivirus	Badger associated gemykibivirus 1	1634484	None	NC_026806	1
Genomoviridae	Gemykibivirus	Black robin associated gemykibivirus 1	1391037	None	NC_025732	1
Genomoviridae	Gemykibivirus	Blackbird associated gemykibivirus 1	1391038	None	NC_025731	1
Genomoviridae	Gemykibivirus	Bovine associated gemykibivirus 1	2004486	None	NC_024689	1
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 1	2004487	None	NC_024691,NC_024691,NC_026169	4
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 2	2004957	None	NC_026818	8
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 3	2004960	None	NC_038496,NC_026809	1
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 4	2004961	None	NC_038497	1
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 5	2004962	None	NC_030448	1
Genomoviridae	Gemykibivirus	Mongoose associated gemykibivirus 1	2004963	None	NC_026808	1
Genomoviridae	Gemykibivirus	Pteropus associated gemykibivirus 1	2004964	None	NC_038498	1
Genomoviridae	Gemykibivirus	Rhinolophus associated gemykibivirus 2	2004966	None	NC_038500	1
Genomoviridae	Gemykibivirus	Sewage derived gemykibivirus 1	2004967	None	NC_026168	2
Genomoviridae	Gemykolovirus	Pteropus associated gemykolovirus 1	2005505	None	NC_038501	1
Genomoviridae	Gemykolovirus	Pteropus associated gemykolovirus 2	2005506	None	NC_038502	1
Genomoviridae	Gemykrogvirus	Bovine associated gemykrogvirus 1	1985416	None	NC_024690	1
Genomoviridae	Gemykroznavirus	Rabbit associated gemykroznavirus 1	1985420	None	NC_025729	1
Genomoviridae	Gemytondvirus	Ostrich associated gemytondvirus 1	1985419	None	NC_025728	1
Genomoviridae	Gemyvongvirus	Human associated gemyvongvirus 1	1985415	None	NC_028459	1
Hantaviridae	Loanvirus	Longquan loanvirus	2501379	None	NC_043126,NC_043125,NC_043127	3
Hantaviridae	Mobatvirus	Laibin mobatvirus	2501380	M	NC_038513	4
Hantaviridae	Mobatvirus	Laibin mobatvirus	2501380	S	NC_038514	2
Hantaviridae	Mobatvirus	Laibin mobatvirus	2501380	L	NC_038515	4
Hantaviridae	Mobatvirus	Nova mobatvirus	2501381	S	NC_034464	103
Hantaviridae	Mobatvirus	Nova mobatvirus	2501381	L	NC_034465	9
Hantaviridae	Mobatvirus	Nova mobatvirus	2501381	M	NC_034470	8
Hantaviridae	Mobatvirus	Quezon mobatvirus	2501382	M	NC_034393	1
Hantaviridae	Mobatvirus	Quezon mobatvirus	2501382	S	NC_034400	1
Hantaviridae	Mobatvirus	Quezon mobatvirus	2501382	L	NC_034401	1
Hantaviridae	Orthohantavirus	Andes orthohantavirus	1980456	S	NC_003466	13
Hantaviridae	Orthohantavirus	Andes orthohantavirus	1980456	M	NC_003467	7
Hantaviridae	Orthohantavirus	Andes orthohantavirus	1980456	L	NC_003468	3
Hantaviridae	Orthohantavirus	Asama orthohantavirus	1980457	S	NC_038273	3
Hantaviridae	Orthohantavirus	Asama orthohantavirus	1980457	M	NC_038274	2
Hantaviridae	Orthohantavirus	Asikkala orthohantavirus	1980458	None	NC_043069,NC_043068,NC_043070	3
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	1980459	S	NC_038298	1
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	1980459	L	NC_038299	1
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	1980459	M	NC_038300	1
Hantaviridae	Orthohantavirus	Black Creek Canal orthohantavirus	1980460	None	NC_043075,NC_043074,NC_043073	4
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	1980461	S	NC_034405	1
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	1980461	M	NC_034406	1
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	1980461	L	NC_034407	1
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	1980462	S	NC_034394	2
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	1980462	M	NC_034395	2
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	1980462	L	NC_034402	2
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	1980463	L	NC_034515	1
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	1980463	M	NC_034525	1
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	1980463	S	NC_034528	1
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	1980464	M	NC_034474	1
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	1980464	S	NC_034484	1
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	1980464	L	NC_034485	1
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	1980465	S	NC_038373	1
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	1980465	M	NC_038374	2
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	1980465	L	UNKNOWN	1
Hantaviridae	Orthohantavirus	Dabieshan orthohantavirus	1980466	M	NC_038383	1
Hantaviridae	Orthohantavirus	Dabieshan orthohantavirus	1980466	S	NC_038384	6
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	1980467	S	NC_005233	37
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	1980467	M	NC_005234	23
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	1980467	L	NC_005235	12
Hantaviridae	Orthohantavirus	El Moro Canyon orthohantavirus	1980468	S	NC_038423	1
Hantaviridae	Orthohantavirus	El Moro Canyon orthohantavirus	1980468	M	NC_038424	1
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	1980469	M	NC_034466	1
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	1980469	L	NC_034467	1
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	1980469	S	NC_034473	1
Hantaviridae	Orthohantavirus	Fusong orthohantavirus	1980470	S	NC_038446	1
Hantaviridae	Orthohantavirus	Fusong orthohantavirus	1980470	M	NC_038447	1
Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	1980471	S	NC_005218	250
Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	1980471	M	NC_005219	179
Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	1980471	L	NC_005222	100
Hantaviridae	Orthohantavirus	Hantavirus Z10	93830	S	NC_006433	2
Hantaviridae	Orthohantavirus	Hantavirus Z10	93830	L	NC_006435	1
Hantaviridae	Orthohantavirus	Hantavirus Z10	93830	M	NC_006437	2
Hantaviridae	Orthohantavirus	Jeju orthohantavirus	1980473	S	NC_034398	2
Hantaviridae	Orthohantavirus	Jeju orthohantavirus	1980473	L	NC_034399	2
Hantaviridae	Orthohantavirus	Jeju orthohantavirus	1980473	M	NC_034404	1
Hantaviridae	Orthohantavirus	Kenkeme orthohantavirus	1980474	S	NC_034559	2
Hantaviridae	Orthohantavirus	Kenkeme orthohantavirus	1980474	L	NC_034560	1
Hantaviridae	Orthohantavirus	Kenkeme orthohantavirus	1980474	M	NC_034565	1
Hantaviridae	Orthohantavirus	Khabarovsk orthohantavirus	1980475	M	NC_034518	2
Hantaviridae	Orthohantavirus	Khabarovsk orthohantavirus	1980475	L	NC_034519	1
Hantaviridae	Orthohantavirus	Khabarovsk orthohantavirus	1980475	S	NC_034527	2
Hantaviridae	Orthohantavirus	Laguna Negra orthohantavirus	1980476	S	NC_038505	1
Hantaviridae	Orthohantavirus	Laguna Negra orthohantavirus	1980476	M	NC_038506	1
Hantaviridae	Orthohantavirus	Luxi orthohantavirus	1980479	M	NC_038528	1
Hantaviridae	Orthohantavirus	Luxi orthohantavirus	1980479	L	NC_038529	1
Hantaviridae	Orthohantavirus	Luxi orthohantavirus	1980479	S	NC_038530	1
Hantaviridae	Orthohantavirus	Maporal orthohantavirus	1980480	M	NC_034552	1
Hantaviridae	Orthohantavirus	Maporal orthohantavirus	1980480	L	NC_034553	1
Hantaviridae	Orthohantavirus	Maporal orthohantavirus	1980480	S	NC_034566,NC_038233	2
Hantaviridae	Orthohantavirus	Montano orthohantavirus	1980481	S	NC_034396	1
Hantaviridae	Orthohantavirus	Montano orthohantavirus	1980481	M	NC_034397	1
Hantaviridae	Orthohantavirus	Montano orthohantavirus	1980481	L	NC_034403	1
Hantaviridae	Orthohantavirus	Necocli orthohantavirus	1980482	None	NC_043407,NC_043409,NC_043408	3
Hantaviridae	Orthohantavirus	Oxbow orthohantavirus	1980484	None	NC_043175,NC_043176,NC_043174	3
Hantaviridae	Orthohantavirus	Prospect Hill orthohantavirus	1980485	S	NC_038938	1
Hantaviridae	Orthohantavirus	Prospect Hill orthohantavirus	1980485	L	NC_038939	1
Hantaviridae	Orthohantavirus	Prospect Hill orthohantavirus	1980485	M	NC_038940	1
Hantaviridae	Orthohantavirus	Puumala orthohantavirus	1980486	M	NC_005223	38
Hantaviridae	Orthohantavirus	Puumala orthohantavirus	1980486	S	NC_005224	104
Hantaviridae	Orthohantavirus	Puumala orthohantavirus	1980486	L	NC_005225	21
Hantaviridae	Orthohantavirus	Rockport orthohantavirus	1980488	M	NC_038694	1
Hantaviridae	Orthohantavirus	Rockport orthohantavirus	1980488	L	NC_038695	3
Hantaviridae	Orthohantavirus	Rockport orthohantavirus	1980488	S	NC_038696	3
Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	1980489	M	NC_034516	1
Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	1980489	L	NC_034517	1
Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	1980489	S	NC_034526	1
Hantaviridae	Orthohantavirus	Seoul orthohantavirus	1980490	S	NC_005236	104
Hantaviridae	Orthohantavirus	Seoul orthohantavirus	1980490	M	NC_005237	78
Hantaviridae	Orthohantavirus	Seoul orthohantavirus	1980490	L	NC_005238	25
Hantaviridae	Orthohantavirus	Sin Nombre orthohantavirus	1980491	M	NC_005215	12
Hantaviridae	Orthohantavirus	Sin Nombre orthohantavirus	1980491	S	NC_005216	10
Hantaviridae	Orthohantavirus	Sin Nombre orthohantavirus	1980491	L	NC_005217	5
Hantaviridae	Orthohantavirus	Thailand orthohantavirus	1980492	S	NC_034555	2
Hantaviridae	Orthohantavirus	Thailand orthohantavirus	1980492	L	NC_034556	1
Hantaviridae	Orthohantavirus	Thailand orthohantavirus	1980492	M	NC_034563	2
Hantaviridae	Orthohantavirus	Tula orthohantavirus	1980494	L	NC_005226	1
Hantaviridae	Orthohantavirus	Tula orthohantavirus	1980494	S	NC_005227	24
Hantaviridae	Orthohantavirus	Tula orthohantavirus	1980494	M	NC_005228	2
Hantaviridae	Orthohantavirus	Yakeshi orthohantavirus	1980495	S	NC_038704	3
Hantaviridae	Orthohantavirus	Yakeshi orthohantavirus	1980495	M	NC_038705	1
Hantaviridae	Thottimvirus	Imjin thottimvirus	2501369	M	NC_034557	12
Hantaviridae	Thottimvirus	Imjin thottimvirus	2501369	S	NC_034558	27
Hantaviridae	Thottimvirus	Imjin thottimvirus	2501369	L	NC_034564	11
Hantaviridae	Thottimvirus	Thottopalayam thottimvirus	2501370	S	NC_010704	14
Hantaviridae	Thottimvirus	Thottopalayam thottimvirus	2501370	L	NC_010707	9
Hantaviridae	Thottimvirus	Thottopalayam thottimvirus	2501370	M	NC_010708	14
Hepadnaviridae	unknown	Bluegill hepatitis B virus	2169918	None	NC_030445	1
Hepadnaviridae	unknown	Domestic cat hepadnavirus	2107574	None	NC_040719	3
Hepadnaviridae	unknown	Tibetan frog hepatitis B virus	2169919	None	NC_030446	2
Hepadnaviridae	unknown	White sucker hepatitis B virus	1690672	None	NC_027922	1
Hepadnaviridae	Avihepadnavirus	Duck hepatitis B virus	12639	None	NC_005888,NC_005890,NC_001344,NC_005950	55
Hepadnaviridae	Avihepadnavirus	Heron hepatitis B virus	28300	None	NC_001486	5
Hepadnaviridae	Avihepadnavirus	Parrot hepatitis B virus	1128118	None	NC_016561	18
Hepadnaviridae	Avihepadnavirus	Tinamou hepatitis B virus	2018685	None	NC_035210	2
Hepadnaviridae	Orthohepadnavirus	Capuchin monkey hepatitis B virus	2163996	None	NC_043528	1
Hepadnaviridae	Orthohepadnavirus	Ground squirrel hepatitis virus	10406	None	NC_001484	2
Hepadnaviridae	Orthohepadnavirus	Hepatitis B virus	10407	None	NC_003977	10013
Hepadnaviridae	Orthohepadnavirus	Long-fingered bat hepatitis B virus	2050037	None	NC_020881	1
Hepadnaviridae	Orthohepadnavirus	Pomona bat hepatitis B virus	2049933	None	NC_038503	1
Hepadnaviridae	Orthohepadnavirus	Roundleaf bat hepatitis B virus	1508710	None	NC_024444,NC_024443	4
Hepadnaviridae	Orthohepadnavirus	Tent-making bat hepatitis B virus	1508712	None	NC_024445	3
Hepadnaviridae	Orthohepadnavirus	Woodchuck hepatitis virus	35269	None	NC_004107	19
Hepadnaviridae	Orthohepadnavirus	Woolly monkey hepatitis B virus	68416	None	NC_028129	2
Hepeviridae	unknown	Rana hepevirus	2185281	None	NC_040835	1
Hepeviridae	Orthohepevirus	Orthohepevirus A	1678143	None	NC_001434	570
