name	taxid
Circoviridae 13 LDMD-2013	1379717
Circoviridae 14 LDMD-2013	1379718
Circoviridae 15 LDMD-2013	1379719
Circoviridae 16 LDMD-2013	1379720
Circoviridae 17 LDMD-2013	1379721
Circoviridae 19 LDMD-2013	1379723
Circoviridae 2 LDMD-2013	1379695
Circoviridae 21 LDMD-2013	1379725
Circoviridae 3 LDMD-2013	1379707
Circoviridae 6 LDMD-2013	1379710
Circoviridae 7 LDMD-2013	1379711
Circoviridae 8 LDMD-2013	1379712
Circoviridae 9 LDMD-2013	1379713
Circoviridae LDMD-2013a	1576597
Circoviridae LDMD-2013b	1576598
Circoviridae SFBeef	1548712
Dromedary stool-associated circular ssDNA virus	1574422
Fur seal faeces associated circular DNA virus	1353241
Garrulus glandarius associated circular virus 1	2006642
Human fecal virus Jorvi2	2017081
Human fecal virus Jorvi3	2017082
Human fecal virus Jorvi4	2017083
Meles meles circovirus-like virus	1128073
Paguma larvata circovirus	2294094
Po-Circo-like virus	1454552
Po-Circo-like virus 41	1105385
Po-Circo-like virus 51	1105386
Porcine stool-associated circular virus 4	1475062
Porcine stool-associated circular virus 5	1475063
Porcine stool-associated circular virus/BEL/15V010	2017724
Anguilla anguilla circovirus	1420600
Barbel circovirus	759938
Bat associated circovirus 1	1868218
Bat associated circovirus 2	1868219
Bat associated circovirus 3	1868220
Bat associated circovirus 4	2003309
Bat associated circovirus 5	2003310
Bat associated circovirus 6	2003311
Bat associated circovirus 7	2003312
Bat associated circovirus 8	2003313
Bat associated circovirus 9	2169823
Bat circovirus	1329650
Beak and feather disease virus	77856
Canary circovirus	142661
Canine circovirus	1194757
Chimpanzee associated circovirus 1	1959759
Circovirus sp.	1964372
Duck circovirus	324685
European catfish circovirus	1959744
Feline stool-associated circular virus KU14	2249941
Finch circovirus	400122
Giant panda circovirus 1	2016456
Giant panda circovirus 2	2016457
Giant panda circovirus 3	2016458
Giant panda circovirus 4	2016459
Goose circovirus	146032
Gull circovirus	400121
Human associated circovirus 1	1959761
Human circovirus VS6600022	1525173
Mink circovirus	1475143
Molossus molossus circovirus 1	1959842
Molossus molossus circovirus 2	1959843
Molossus molossus circovirus 3	1959844
Molossus molossus circovirus 4	1959845
Pigeon circovirus	1414603
Porcine circovirus 1	133704
Porcine circovirus 2	85708
Porcine circovirus 3	1868221
Porcine circovirus type 1/2a	720569
Porcine circovirus-like virus P1	1506546
Raven circovirus	345250
Starling circovirus	349370
Swan circovirus	459957
Zebra finch circovirus	1642515
Bat associated cyclovirus 1	2050928
Bat associated cyclovirus 10	1987735
Bat associated cyclovirus 11	1987736
Bat associated cyclovirus 12	1987737
Bat associated cyclovirus 13	1987738
Bat associated cyclovirus 14	1987739
Bat associated cyclovirus 15	1987740
Bat associated cyclovirus 16	1987741
Bat associated cyclovirus 2	2050585
Bat associated cyclovirus 3	2050586
Bat associated cyclovirus 4	2050587
Bat associated cyclovirus 5	2050925
Bat associated cyclovirus 6	1987731
Bat associated cyclovirus 7	1987732
Bat associated cyclovirus 8	1987733
Bat associated cyclovirus 9	1987734
Bovine associated cyclovirus 1	2050927
Chicken associated cyclovirus 1	2050596
Chicken associated cyclovirus 2	2109365
Chimpanzee associated cyclovirus 1	2051672
Cyclovirus PKgoat21/PAK/2009	942033
Cyclovirus ZM36a	1506568
Duck associated cyclovirus 1	2006585
Feline associated cyclovirus 1	1987742
Goat associated cyclovirus 1	2050926
Horse associated cyclovirus 1	1987743
Human associated cyclovirus 1	2038719
Human associated cyclovirus 10	2038728
Human associated cyclovirus 11	1987745
Human associated cyclovirus 12	2169855
Human associated cyclovirus 2	2038720
Human associated cyclovirus 3	2038721
Human associated cyclovirus 4	2038722
Human associated cyclovirus 5	2038723
Human associated cyclovirus 6	2038724
Human associated cyclovirus 7	2038725
Human associated cyclovirus 8	2038726
Human associated cyclovirus 9	2038727
Mouse associated cyclovirus 1	2169856
Squirrel associated cyclovirus 1	1987744
Ball python nidovirus 1	1986118
Bat coronavirus	1508220
Bat coronavirus BM48-31/BGR/2008	864596
Bovine nidovirus 1	1986112
unidentified human coronavirus	694448
Alphacoronavirus 1	693997
Bat coronavirus 1A	393767
Bat coronavirus CDPHE15	1913643
Bat coronavirus HKU10	1244203
BtMr-AlphaCoV/SAX2011	1503289
BtNv-AlphaCoV/SC2013	1503291
BtRf-AlphaCoV/HuB2013	1503292
BtRf-AlphaCoV/YN2012	1503293
Coronavirus AcCoV-JC34	1964806
Ferret coronavirus	1264898
Human coronavirus 229E	11137
Human coronavirus NL63	277944
Lucheng Rn rat coronavirus	1508224
Miniopterus bat coronavirus HKU8	694001
Mink coronavirus 1	1913642
NL63-related bat coronavirus	1920748
Porcine epidemic diarrhea virus	28295
Rhinolophus bat coronavirus HKU2	693998
Scotophilus bat coronavirus 512	693999
Wencheng Sm shrew coronavirus	1508228
Fathead minnow nidovirus 1	1965074
White bream virus	405554
Bat Hp-betacoronavirus Zhejiang2013	2501961
Betacoronavirus 1	694003
Betacoronavirus HKU24	1590370
Hedgehog coronavirus 1	1965093
Human coronavirus HKU1	290028
Middle East respiratory syndrome-related coronavirus	1335626
Murine coronavirus	694005
Pipistrellus bat coronavirus HKU5	694008
Rabbit coronavirus HKU14	1160968
Rousettus bat coronavirus GCCDC1	2501962
Rousettus bat coronavirus HKU9	694006
Severe acute respiratory syndrome-related coronavirus	694009
Tylonycteris bat coronavirus HKU4	694007
Bulbul coronavirus HKU11	574549
Common moorhen coronavirus HKU21	1159902
Coronavirus HKU15	1965089
Magpie-robin coronavirus HKU18	1159903
Munia coronavirus HKU13	1297661
Night heron coronavirus HKU19	1159904
