accession	country	year	entry_create_year	taxid	species
FJ390379	USA: Puerto Rico	1998	2008	11053	Dengue virus
KM279578	Singapore	2012	2015	11060	Dengue virus
MG767211	China	2017	2018	11053	Dengue virus
GQ398259	Indonesia	1976	2010	11060	Dengue virus
LC436673	Bangladesh	2017	2020	11060	Dengue virus
EF105388	Nigeria	1966	2007	11060	Dengue virus
FJ744741	Nicaragua: Carazo	2006	2009	11060	Dengue virus
FJ898428	Viet Nam: South	2006	2009	11053	Dengue virus
JF937602	Viet Nam: South	2008	2011	11053	Dengue virus
EU482631	Nicaragua: Managua	2005	2008	11060	Dengue virus
EU482559	USA: Puerto Rico	1998	2008	11069	Dengue virus
KY586816	Thailand	2006	2017	12637	Dengue virus
FJ182024	Viet Nam: South	2007	2008	11053	Dengue virus
KY586771	Thailand	1998	2017	12637	Dengue virus
MW386867	China: Yunnan	2019	2020	11053	Dengue virus
FJ024456	Viet Nam: South	2007	2008	11053	Dengue virus
KY474333	Ecuador: Machala	2014	2018	11060	Dengue virus
KP188551	Brazil	2012	2016	11060	Dengue virus
EU920835	French Guiana	2002	2014	11060	Dengue virus
JX669471	Brazil	1999	2013	11053	Dengue virus
EU482773	Nicaragua: Managua	2006	2008	11060	Dengue virus
EU482497	Viet Nam: south	2007	2008	11053	Dengue virus
KJ189308	Mexico	2009	2014	11060	Dengue virus
FJ432746	Viet Nam: South	2007	2009	11053	Dengue virus
KY921909	Singapore	2016	2017	11070	Dengue virus
KY586924	Thailand	2003	2017	12637	Dengue virus
KX452035	Malaysia: Johor Bahru	2014	2017	11060	Dengue virus
JQ045664	Viet Nam	None	2012	11053	Dengue virus
KY921905	Singapore	2015	2017	11060	Dengue virus
EU081258	Singapore	2005	2007	11053	Dengue virus
KY586444	Thailand	2007	2017	12637	Dengue virus
FJ432724	Viet Nam: South	2007	2009	11060	Dengue virus
MW946212	Thailand	1994	2021	11053	Dengue virus
KY586497	Thailand	2006	2017	12637	Dengue virus
EU482495	Viet Nam: south	2007	2008	11053	Dengue virus
FJ182041	USA: Puerto Rico	2005	2008	11069	Dengue virus
KY586446	Thailand	2006	2017	12637	Dengue virus
FJ562101	Viet Nam: South	2007	2009	11053	Dengue virus
EU482635	Nicaragua: Managua	2005	2008	11060	Dengue virus
MF156235	China	2015	2018	11060	Dengue virus
JX669504	Brazil: Pernambuco	2006	2013	11069	Dengue virus
KF744406	Philippines	1995	2015	11060	Dengue virus
KY586772	Thailand	1998	2017	12637	Dengue virus
FJ882554	Viet Nam: South	2007	2009	11053	Dengue virus
GU131916	Cambodia: KCH	2007	2009	11069	Dengue virus
GQ199843	Viet Nam: South	2006	2009	11053	Dengue virus
MW512474	Singapore	2017	2021	11060	Dengue virus
EU482573	USA: Puerto Rico	1987	2008	11060	Dengue virus
MF940251	China	2015	2019	11060	Dengue virus
KF973462	Nicaragua	2011	2014	11053	Dengue virus
MN448626	Thailand	2012	2020	11053	Dengue virus
GQ868526	Mexico: Yucatan	2007	2009	11053	Dengue virus
AY702035	Cuba	None	2005	11060	Dengue virus
JQ922546	India: Jaipur, Rajasthan	1971	2013	11053	Dengue virus
MW946204	Thailand	2002	2021	11053	Dengue virus
JN183884	Nicaragua: Managua	2009	2011	11069	Dengue virus
MW946209	Thailand	1999	2021	11053	Dengue virus
KF041258	Pakistan: Karachi	2009	2013	11069	Dengue virus
KY586745	Thailand	2001	2017	12637	Dengue virus
KY586522	Thailand	1998	2017	12637	Dengue virus
MW946091	Thailand	1996	2021	11053	Dengue virus
MH110603	China: Hangzhou	2017	2018	11060	Dengue virus
FJ461323	Viet Nam: South	2007	2009	11053	Dengue virus
FJ882574	Sri Lanka	1985	2009	11069	Dengue virus
GU131688	Viet Nam: South	2008	2009	11053	Dengue virus
MW946094	Thailand	2012	2021	11053	Dengue virus
GU131812	Viet Nam: South	2008	2009	11053	Dengue virus
GQ199814	Viet Nam: South	2007	2009	11053	Dengue virus
JQ045651	Viet Nam	None	2012	11053	Dengue virus
MW945894	Thailand	2002	2021	11053	Dengue virus
FJ639716	Cambodia: PRV	2008	2009	11069	Dengue virus
MN018352	China: Guangdong Province	2015	2020	11060	Dengue virus
MH613986	Mexico: Mexico City	2017	2019	11060	Dengue virus
GU056029	Venezuela: Aragua	1997	2009	11053	Dengue virus
MW945780	Thailand	2002	2021	11053	Dengue virus
MW946161	Thailand	2006	2021	11053	Dengue virus
FJ639678	Cambodia: KRA	2003	2009	11053	Dengue virus
KX655787	China	2015	2017	11060	Dengue virus
KT726357	Cuba	2001	2016	11069	Dengue virus
MG840561	China	2016	2019	11053	Dengue virus
EU726769	USA: Puerto Rico	2003	2008	11069	Dengue virus
MF033220	Singapore	2014	2018	11053	Dengue virus
KY586418	Thailand	2002	2017	12637	Dengue virus
FJ196841	China: Guangzhou, Guangdong Province	2003	2011	11053	Dengue virus
KY586309	Thailand	2001	2017	12637	Dengue virus
JQ045691	Viet Nam	None	2012	11069	Dengue virus
KY586526	Thailand	2000	2017	12637	Dengue virus
JX669463	Brazil	2010	2013	11053	Dengue virus
EU482708	Viet Nam: south	2007	2008	11053	Dengue virus
GU131730	Viet Nam: South	2008	2009	11053	Dengue virus
FJ182005	USA: Puerto Rico	2004	2008	11069	Dengue virus
MN018381	China: Guangdong Province	2016	2020	11069	Dengue virus
MN018291	China: Guangdong Province	2017	2020	11053	Dengue virus
KY586374	Thailand	2001	2017	12637	Dengue virus
GQ199775	Viet Nam: South	2007	2009	11053	Dengue virus
KU509285	Thailand	2010	2017	11069	Dengue virus
MW945895	Thailand	2000	2021	11053	Dengue virus
KF955505	Grenada	2002	2014	11069	Dengue virus
FJ639761	Venezuela: Aragua	2001	2009	11069	Dengue virus
MW945832	Thailand	1997	2021	11053	Dengue virus
AF100462	None	None	1999	11060	Dengue virus
KX059035	Sri Lanka	2012	2017	12637	Dengue virus
MW577830	Brazil	2019	2021	11060	Dengue virus
KY586356	Thailand	2004	2017	12637	Dengue virus
KY586912	Thailand	2000	2017	12637	Dengue virus
FJ639727	Cambodia: BTB	2005	2009	11069	Dengue virus
GQ199841	Viet Nam: South	2006	2009	11053	Dengue virus
EU660400	USA: Puerto Rico	1998	2008	11060	Dengue virus
KY586430	Thailand	2006	2017	12637	Dengue virus
MK564487	China: Guangzhou	2018	2019	11060	Dengue virus
KX059024	Sri Lanka	2013	2017	12637	Dengue virus
KJ596674	Brazil: Cuiaba, MT	2012	2015	11070	Dengue virus
KY586815	Thailand	2006	2017	12637	Dengue virus
GQ199774	Viet Nam: South	2007	2009	11053	Dengue virus
FJ205874	USA: Puerto Rico	1995	2008	11053	Dengue virus
KC762633	Indonesia: Makassar	2008	2015	11053	Dengue virus
GQ398257	Indonesia	1977	2010	11060	Dengue virus
EU081261	Singapore	2005	2007	11053	Dengue virus
JN819417	El Salvador	1993	2011	11053	Dengue virus
EU482613	Venezuela: DF/Caracas	2001	2008	11069	Dengue virus
AY726553	Myanmar	None	2005	11053	Dengue virus
KY586842	Thailand	2006	2017	12637	Dengue virus
GQ398267	Singapore	2007	2010	11060	Dengue virus
KM403607	Singapore	2013	2016	11053	Dengue virus
KJ189319	Mexico	2007	2014	11053	Dengue virus
KM403586	Singapore	2013	2016	11053	Dengue virus
MN018384	China: Guangdong Province	2016	2020	11069	Dengue virus
KU509264	Haiti	2010	2017	11053	Dengue virus
FJ882565	Viet Nam: South	2003	2009	11053	Dengue virus
HM582113	Tonga	1974	2010	11060	Dengue virus
MW945875	Thailand	2000	2021	11053	Dengue virus
JQ922550	India: Jaipur, Rajasthan	1971	2013	11060	Dengue virus
HQ891025	Nicaragua: Managua	2009	2011	11069	Dengue virus
KM279550	Singapore	2012	2015	11060	Dengue virus
MH921567	Australia: Queensland	2016	2018	11053	Dengue virus
JQ822247	China: Guangdong province	2010	2012	11070	Dengue virus
GU131748	Viet Nam: South	2008	2009	11053	Dengue virus
MW512426	Singapore	2014	2021	11060	Dengue virus
JQ045661	Viet Nam	None	2012	11053	Dengue virus
GQ868528	Mexico: Yucatan	2007	2009	11053	Dengue virus
JN819421	Nicaragua: Managua	2007	2011	11060	Dengue virus
FJ196854	China: Guangzhou, Guangdong Province	1993	2011	11060	Dengue virus
KT794007	Brazil: Manaus, Amazonas State	2011	2016	11070	Dengue virus
MG840532	China	2014	2019	11053	Dengue virus
JQ045652	Viet Nam	None	2012	11053	Dengue virus
KF955365	Venezuela	None	2014	11060	Dengue virus
MH827527	China	2017	2019	11060	Dengue virus
KY849735	Laos: Vientiane	2010	2018	11053	Dengue virus
EU482662	Viet Nam: south	2006	2008	11060	Dengue virus
GU131757	Viet Nam: South	2008	2009	11053	Dengue virus
KX380840	Singapore	2012	2016	11069	Dengue virus
KX225493	China	2015	2017	11053	Dengue virus
GU370050	Singapore	2007	2010	11060	Dengue virus
MK564485	China: Guangzhou	2018	2019	11060	Dengue virus
MW946178	Thailand	1997	2021	11053	Dengue virus
KC762662	Indonesia: Makassar	2007	2015	11060	Dengue virus
EU482530	Viet Nam: south	2006	2008	11053	Dengue virus
FJ906969	None	2009	2009	11060	Dengue virus
MN448618	Thailand	2011	2020	11053	Dengue virus
EU482816	Viet Nam: south	2006	2008	11053	Dengue virus
GU131834	Venezuela: Aragua	2001	2009	11053	Dengue virus
MH450310	Venezuela: Aragua	2010	2018	12637	Dengue virus
KJ189353	Puerto Rico	2012	2014	11053	Dengue virus
FJ410266	Viet Nam: South	2008	2008	11053	Dengue virus
GU131765	Viet Nam: South	2008	2009	11053	Dengue virus
MW946223	Thailand	2003	2021	11053	Dengue virus
GQ199803	Viet Nam: South	2007	2009	11053	Dengue virus
EU482643	Viet Nam: south	2006	2008	11060	Dengue virus
AY662691	Singapore	None	2004	11069	Dengue virus
GQ199899	None	2008	2009	11060	Dengue virus
MW512396	Singapore	2013	2021	11060	Dengue virus
GQ398284	Puerto Rico	1994	2010	11060	Dengue virus
MN018294	China: Guangdong Province	2014	2020	11053	Dengue virus
MW945912	Thailand	2006	2021	11053	Dengue virus
EU569689	Venezuela: DF/Caracas	2001	2008	11069	Dengue virus
FJ182038	USA: Puerto Rico	2005	2008	11069	Dengue virus
KY586307	Thailand	2001	2017	12637	Dengue virus
HM756279	Nicaragua: Managua	2009	2010	11069	Dengue virus
KU509266	Thailand	2012	2017	11053	Dengue virus
U87412	None	None	1997	11060	Dengue virus
MH450295	Venezuela: Carabobo	2015	2018	12637	Dengue virus
EF105381	Cote d'Ivoire	1980	2007	11060	Dengue virus
FJ639673	Cambodia: KCH	2001	2009	11053	Dengue virus
HQ891023	Taiwan	2008	2011	11060	Dengue virus
KY586619	Thailand	2000	2017	12637	Dengue virus
FJ410274	Viet Nam: South	2008	2008	11053	Dengue virus
MN018324	China: Guangdong Province	2014	2020	11053	Dengue virus
EU482757	Nicaragua: Managua	2005	2008	11060	Dengue virus
KJ596671	Brazil: Varzea Grande, MT	2012	2015	11070	Dengue virus
MF940246	China	2015	2019	11060	Dengue virus
GU131713	Viet Nam: South	2008	2009	11053	Dengue virus
EU081260	Singapore	2005	2007	11053	Dengue virus
KT187559	China: Guangdong	2014	2015	11053	Dengue virus
FJ461325	Viet Nam: South	2007	2009	11053	Dengue virus
EU482797	Viet Nam: south	2006	2008	11053	Dengue virus
EU677163	Viet Nam: South	2007	2008	11053	Dengue virus
KY586687	Thailand	1998	2017	12637	Dengue virus
HM181960	Viet Nam: South	2008	2010	11053	Dengue virus
DQ645543	Taiwan	None	2008	11060	Dengue virus
JQ915076	French Polynesia: Tahiti	2009	2013	11053	Dengue virus
LC428056	Viet Nam	2017	2019	11053	Dengue virus
KC762645	Indonesia: Makassar	2008	2015	11053	Dengue virus
DQ672563	USA: Hawaii	2001	2007	11053	Dengue virus
MW946066	Thailand	2005	2021	11053	Dengue virus
LC410196	Thailand	2016	2018	11070	Dengue virus
EU482454	Viet Nam: south	2006	2008	11069	Dengue virus
MW946071	Thailand	1996	2021	11053	Dengue virus
M19197	None	None	1993	11060	Dengue virus
EU529696	USA: Puerto Rico	1999	2008	11069	Dengue virus
FM210203	Viet Nam:South	2003	2008	11060	Dengue virus
KU725665	None	None	2016	11069	Dengue virus
CS477305	None	None	2007	12637	Dengue virus
EU081271	Singapore	2005	2007	11053	Dengue virus
KJ596663	Brazil: Cuiaba, MT	2012	2015	11070	Dengue virus
GQ199804	Viet Nam: South	2007	2009	11053	Dengue virus
JX669466	Brazil	2010	2013	11053	Dengue virus
KT187555	China: Guangdong	2014	2015	11060	Dengue virus
KY474315	Ecuador: Machala	2014	2018	11060	Dengue virus
MT832039	Philippines	2012	2021	11053	Dengue virus
MF033210	Singapore	2013	2018	11053	Dengue virus
GQ868605	Viet Nam: South	2006	2009	11053	Dengue virus
AF311957	None	None	2002	11053	Dengue virus
KF744407	Philippines	1996	2015	11060	Dengue virus
MH822951	India	2013	2018	11060	Dengue virus
KY586523	Thailand	1998	2017	12637	Dengue virus
MN448669	Thailand	2011	2020	11053	Dengue virus
EU482627	Nicaragua: Managua	2007	2008	11060	Dengue virus
FJ182013	USA: Puerto Rico	1998	2008	11069	Dengue virus
EU081278	Singapore	2005	2007	11053	Dengue virus
FJ410244	Viet Nam: South	2008	2008	11053	Dengue virus
MW577816	Brazil	2019	2021	11060	Dengue virus
MW946038	Thailand	1988	2021	11053	Dengue virus
EU482558	USA: Puerto Rico	1998	2008	11069	Dengue virus
MW512427	Singapore	2014	2021	11060	Dengue virus
MK783199	China	2018	2021	11060	Dengue virus
FJ461339	Viet Nam: South	2008	2009	11053	Dengue virus
MF033240	Singapore	2015	2018	11053	Dengue virus
FJ898420	Viet Nam: South	2006	2009	11053	Dengue virus
FJ410250	Viet Nam: South	2007	2008	11053	Dengue virus
FJ547082	USA: Puerto Rico	2001	2009	11069	Dengue virus
KX951690	Taiwan	2007	2017	11053	Dengue virus
MK783202	China	2018	2021	11060	Dengue virus
LC011948	Japan:Chiba	2014	2014	11053	Dengue virus
EU529694	USA: Puerto Rico	1994	2008	11060	Dengue virus
JX669467	Brazil	1996	2013	11053	Dengue virus
KJ189368	Mexico	2012	2014	11053	Dengue virus
KY921902	Singapore	2015	2017	11053	Dengue virus
KF704356	Cuba	1981	2014	11060	Dengue virus
EU687248	Viet Nam: South	2007	2008	11060	Dengue virus
HM631859	Nicaragua: Managua	2009	2010	11069	Dengue virus
KY586527	Thailand	1998	2017	12637	Dengue virus
MG840545	China	2015	2019	11053	Dengue virus
KY586641	Thailand	2001	2017	12637	Dengue virus
JF937631	Nicaragua: Managua	2009	2011	11069	Dengue virus
KF744400	Philippines	2000	2015	11060	Dengue virus
FJ410270	Viet Nam: South	2008	2008	11053	Dengue virus
FJ639735	Venezuela: Aragua	1997	2009	11053	Dengue virus
FJ898399	Viet Nam: South	2006	2009	11053	Dengue virus
FJ373302	USA: Puerto Rico	2004	2008	11069	Dengue virus
AY648961	Indonesia	None	2004	11069	Dengue virus
JQ513334	Brazil: Santarem-PA	2010	2012	11070	Dengue virus
JF937627	Nicaragua: Managua	2010	2011	11069	Dengue virus
MF033226	Singapore	2014	2018	11053	Dengue virus
KY586480	Thailand	2002	2017	12637	Dengue virus
KY586578	Thailand	2001	2017	12637	Dengue virus
GQ868551	Brazil: Sao Paulo	2008	2009	11060	Dengue virus
MW945959	Thailand	2014	2021	11053	Dengue virus
EU249490	Viet Nam: south	2006	2008	11053	Dengue virus
EU482582	USA: Puerto Rico	1989	2008	11060	Dengue virus
KM403614	Singapore	2013	2016	11053	Dengue virus
KY586826	Thailand	2001	2017	12637	Dengue virus
MW793459	Thailand	2021	2021	11070	Dengue virus
JX669464	Brazil	2010	2013	11053	Dengue virus
JX669485	Brazil: Pernambuco	1998	2013	11060	Dengue virus
MW945857	Thailand	2006	2021	11053	Dengue virus
LC111438	East Timor	None	2016	11060	Dengue virus
MH110596	China: Hangzhou	2017	2018	11060	Dengue virus
MW945926	Thailand	1994	2021	11053	Dengue virus
EU529688	Venezuela: DF/Caracas	2001	2008	11069	Dengue virus
FJ898373	Viet Nam: South	2007	2009	11053	Dengue virus
MG840560	China	2015	2019	11053	Dengue virus
FJ024452	Viet Nam: South	2007	2008	11060	Dengue virus
FJ182039	USA: Puerto Rico	2005	2008	11069	Dengue virus
MN448628	Thailand	2012	2020	11053	Dengue virus
KY586505	Thailand	2006	2017	12637	Dengue virus
MW945939	Thailand	1995	2021	11053	Dengue virus
MW945947	Thailand	2006	2021	11053	Dengue virus
FJ744714	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
KY586388	Thailand	2006	2017	12637	Dengue virus
KF955457	Viet Nam	2007	2014	11069	Dengue virus
EU081280	Singapore	2006	2007	11053	Dengue virus
EU660406	Nicaragua: Managua	2007	2008	11060	Dengue virus
GQ199873	Nicaragua: Managua	2004	2009	11053	Dengue virus
DQ401691	Bangladesh	None	2006	11069	Dengue virus
JQ045641	Viet Nam	None	2012	11053	Dengue virus
MW946040	Thailand	2006	2021	11053	Dengue virus
GU131827	Viet Nam: South	2008	2009	11053	Dengue virus
GU131709	Viet Nam: South	2008	2009	11053	Dengue virus
EU687221	USA: Puerto Rico	2000	2008	11069	Dengue virus
MF033244	Singapore	2016	2018	11053	Dengue virus
FJ639755	Venezuela: Aragua	2001	2009	11069	Dengue virus
FJ461320	Viet Nam: South	2007	2009	11053	Dengue virus
JX649148	Viet Nam	1995	2013	11060	Dengue virus
MW512433	Singapore	2014	2021	11060	Dengue virus
EU081256	Singapore	2005	2007	11053	Dengue virus
MG560268	China: Chaozhou, Guangdong Province	2014	2018	11053	Dengue virus
KY586824	Thailand	2001	2017	12637	Dengue virus
JQ920489	Wallis and Futuna	1995	2013	11069	Dengue virus
KP140942	Haiti	2014	2015	11070	Dengue virus
KM403605	Singapore	2013	2016	11053	Dengue virus
GQ199881	USA: Puerto Rico	1996	2009	11070	Dengue virus
JF937641	Nicaragua: Leon	2009	2011	11069	Dengue virus
JN638570	Cambodia	2008	2013	11070	Dengue virus
MG840576	China	2017	2019	11053	Dengue virus
EU621672	Nicaragua: Managua	2007	2008	11060	Dengue virus
KR024705	China	2014	2016	11053	Dengue virus
EU482756	Nicaragua: Managua	2005	2008	11060	Dengue virus
AF317645	China: Guangxi	None	2001	11069	Dengue virus
MW208056	Brazil: Sao Paulo, Ribeirao Preto	2019	2020	11053	Dengue virus
FJ810415	Venezuela: Aragua	2005	2009	11053	Dengue virus
KY586368	Thailand	1995	2017	12637	Dengue virus
MW946045	Thailand	1998	2021	11053	Dengue virus
EU482514	Viet Nam: south	2007	2008	11053	Dengue virus
EU482623	Nicaragua: Managua	2007	2008	11060	Dengue virus
GQ199807	Viet Nam: South	2007	2009	11053	Dengue virus
GQ868532	Mexico: Yucatan	2008	2009	11053	Dengue virus
MN448671	Thailand	2011	2020	11053	Dengue virus
KM279522	Singapore	2011	2015	11060	Dengue virus
GQ868599	Venezuela: Maracay	1987	2009	11060	Dengue virus
FM210232	Viet Nam:South	2004	2008	11060	Dengue virus
KF973467	Nicaragua	2012	2014	11053	Dengue virus
KR779782	Singapore	2007	2015	11060	Dengue virus
DQ645540	Taiwan	None	2008	11060	Dengue virus
EU854292	Venezuela: District Federal Caracas	2005	2008	11069	Dengue virus
MW946022	Thailand	2002	2021	11053	Dengue virus
KM403578	Singapore	2013	2016	11053	Dengue virus
GQ398290	Puerto Rico	1994	2010	11060	Dengue virus
LC011945	Japan:Tokyo, Shibuya, Yoyogi Park	2014	2014	11053	Dengue virus
FJ024478	Nicaragua: Managua	2005	2008	11053	Dengue virus
GQ868628	Cambodia: BTB	2005	2009	11069	Dengue virus
EU596485	USA: Puerto Rico	1996	2008	11060	Dengue virus
EU482647	Viet Nam: south	2006	2008	11060	Dengue virus
KU094070	China	2015	2016	11060	Dengue virus
EU482551	USA: Puerto Rico	2006	2008	11060	Dengue virus
KY586354	Thailand	2006	2017	12637	Dengue virus
GQ868545	Thailand: Bangkok	1996	2009	11060	Dengue virus
EU726770	USA: Puerto Rico	2005	2008	11060	Dengue virus
GQ868525	Mexico: Yucatan	2007	2009	11053	Dengue virus
EU482529	Viet Nam: south	2006	2008	11053	Dengue virus
GU131863	Brazil: Sao Paulo	2008	2009	11053	Dengue virus
KU666941	Malaysia: Johor Bahru	2014	2016	11053	Dengue virus
JX669465	Brazil	2010	2013	11053	Dengue virus
KY586927	Thailand	2001	2017	12637	Dengue virus
MW946245	Thailand	1998	2021	11053	Dengue virus
KY586738	Thailand	2001	2017	12637	Dengue virus
KY586398	Thailand	2006	2017	12637	Dengue virus
GU131969	Mexico: Yucatan	2007	2009	11053	Dengue virus
FJ898441	Mexico: Distrito Federal	2006	2009	11069	Dengue virus
KJ160504	Sri Lanka	None	2014	11070	Dengue virus
MH985858	Australia: Queensland	2016	2018	11060	Dengue virus
GQ398302	Puerto Rico	1994	2010	11060	Dengue virus
KJ189265	Peru	2004	2014	11069	Dengue virus
KJ189337	Mexico	2008	2014	11053	Dengue virus
EU482615	Nicaragua: Managua	2005	2008	11053	Dengue virus
EU920843	Martinique	2005	2014	11060	Dengue virus
MW577825	Brazil	2019	2021	11060	Dengue virus
EU569712	USA: Puerto Rico	1998	2008	11060	Dengue virus
KJ649286	Saudi Arabia	2011	2014	11053	Dengue virus
KX059018	Sri Lanka	2012	2017	12637	Dengue virus
FJ196853	China: Guangzhou, Guangdong Province	2003	2011	11060	Dengue virus
DQ672560	French Polynesia	2001	2007	11053	Dengue virus
EU660402	Viet Nam: South	2006	2008	11053	Dengue virus
MW946037	Thailand	2003	2021	11053	Dengue virus
KC762669	Indonesia: Makassar	2007	2015	11060	Dengue virus
KY474317	Ecuador: Machala	2014	2018	11060	Dengue virus
EU482770	Nicaragua: Managua	2005	2008	11060	Dengue virus
FJ898384	Viet Nam: South	2007	2009	11053	Dengue virus
GQ868564	Colombia: Norte de Santander	2006	2009	11053	Dengue virus
MW945985	Thailand	2012	2021	11053	Dengue virus
MW945888	Thailand	2011	2021	11053	Dengue virus
MW945877	Thailand	1997	2021	11053	Dengue virus
FJ850097	Venezuela: Aragua	2001	2009	11069	Dengue virus
KY586378	Thailand	2000	2017	12637	Dengue virus
KP188554	Brazil	2013	2016	11060	Dengue virus
KJ596658	Brazil: Cuiaba, MT	2012	2015	11070	Dengue virus
GU131871	Brazil: Sao Paulo	2007	2009	11069	Dengue virus
MN018373	China: Guangdong Province	2016	2020	11069	Dengue virus
KY672933	China: Yunnan	2015	2019	11053	Dengue virus
MK564477	China: Guangzhou	2016	2019	11060	Dengue virus
GU131940	Cambodia: KCH	2007	2009	11069	Dengue virus
EU482766	Nicaragua: Managua	2005	2008	11060	Dengue virus
GU131693	Viet Nam: South	2008	2009	11053	Dengue virus
GQ868516	Mexico: Yucatan	2007	2009	11060	Dengue virus
FJ432735	Viet Nam: South	2007	2009	11053	Dengue virus
KJ189272	Peru	2007	2014	11069	Dengue virus
MW946075	Thailand	2010	2021	11053	Dengue virus
JF937618	Viet Nam: South	2008	2011	11053	Dengue virus
MT832037	Philippines	2012	2021	11053	Dengue virus
FJ850108	Venezuela: Aragua	2008	2009	11060	Dengue virus
MF033204	Singapore	2012	2018	11053	Dengue virus
KY474308	Ecuador: Machala	2014	2018	11060	Dengue virus
DQ672562	USA: Hawaii	2001	2007	11053	Dengue virus
MW946220	Thailand	1994	2021	11053	Dengue virus
KX059033	Sri Lanka	2012	2017	12637	Dengue virus
MW946003	Thailand	2002	2021	11053	Dengue virus
FJ744725	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
MK614090	China: Guangzhou	2018	2019	11070	Dengue virus
FJ898385	Viet Nam: South	2007	2009	11053	Dengue virus
FJ410203	Viet Nam: South	2007	2008	11053	Dengue virus
MN018344	China: Guangdong Province	2017	2020	11060	Dengue virus
FJ410184	USA: Puerto Rico	1993	2008	11053	Dengue virus
MW946186	Thailand	2006	2021	11053	Dengue virus
KY586341	Thailand	2006	2017	12637	Dengue virus
GQ398278	Puerto Rico	1994	2010	11060	Dengue virus
HM181937	Cambodia: KCH	2006	2010	11053	Dengue virus
KF955459	Viet Nam	2008	2014	11069	Dengue virus
KP406805	South Korea	None	2015	11069	Dengue virus
JX669480	Brazil: Pernambuco	1995	2013	11060	Dengue virus
MF033243	Singapore	2016	2018	11053	Dengue virus
EU482656	Viet Nam: south	2006	2008	11060	Dengue virus
AY618993	Thailand: Bangkok	None	2005	11070	Dengue virus
GU131689	Viet Nam: South	2008	2009	11053	Dengue virus
MW512485	Singapore	2018	2021	11060	Dengue virus
FJ461337	Viet Nam: South	2008	2009	11069	Dengue virus
MF033205	Singapore	2012	2018	11053	Dengue virus
MW946145	Thailand	2004	2021	11053	Dengue virus
KY921906	Singapore	2015	2017	11069	Dengue virus
JF262781	Venezuela	1995	2012	11070	Dengue virus
EU482670	Viet Nam: south	2006	2008	11060	Dengue virus
KY672948	China: Yunnan	2013	2019	11060	Dengue virus
KJ189316	Mexico	2009	2014	11053	Dengue virus
FJ873812	Nicaragua: Managua	2008	2009	11069	Dengue virus
FJ639733	Venezuela: Aragua	2005	2009	11060	Dengue virus
EU482575	USA: Puerto Rico	1987	2008	11060	Dengue virus
GQ398310	Puerto Rico	1994	2010	11060	Dengue virus
GQ357692	Singapore	2008	2010	11053	Dengue virus
MW945796	Thailand	1996	2021	11053	Dengue virus
EU482524	Viet Nam: south	2006	2008	11053	Dengue virus
AF309641	Cambodia	None	2001	11053	Dengue virus
KY586836	Thailand	1995	2017	12637	Dengue virus
EU529706	USA: Puerto Rico	2006	2008	11060	Dengue virus
FJ898475	Nicaragua: Managua	2008	2009	11069	Dengue virus
KY586725	Thailand	2006	2017	12637	Dengue virus
EU482658	Viet Nam: south	2006	2008	11060	Dengue virus
DQ672564	USA: Hawaii	2001	2007	11053	Dengue virus
MW946205	Thailand	2013	2021	11053	Dengue virus
KP188563	Brazil	2013	2016	11070	Dengue virus
KM403588	Singapore	2013	2016	11053	Dengue virus
EU920828	French Guiana	1993	2014	11060	Dengue virus
EU726775	Venezuela: Aragua	1996	2008	11060	Dengue virus
FJ176779	China: Guangdong Province	2006	2008	11053	Dengue virus
AB122022	Dominican Republic	None	2004	11060	Dengue virus
GQ868544	Thailand: Bangkok	1996	2009	11060	Dengue virus
HM181953	Cambodia: KCH	2007	2010	11053	Dengue virus
FM210242	Viet Nam:South	2004	2008	11060	Dengue virus
EU482778	Viet Nam: south	2003	2008	11060	Dengue virus
FJ547066	Viet Nam: South	2008	2009	11069	Dengue virus
JN054255	Sri Lanka	2010	2011	11053	Dengue virus
EU569708	USA: Puerto Rico	1995	2008	11060	Dengue virus
KF887994	Thailand	2013	2014	11053	Dengue virus
KY586843	Thailand	2006	2017	12637	Dengue virus
MH110570	China: Hangzhou	2017	2018	11060	Dengue virus
HQ705618	Nicaragua: Managua	2009	2011	11069	Dengue virus
JQ922559	India	1979	2013	11070	Dengue virus
KU509269	Philippines	2009	2017	11060	Dengue virus
JX669475	Brazil	2002	2013	11053	Dengue virus
MW945807	Thailand	2012	2021	11053	Dengue virus
MF033206	Singapore	2013	2018	11053	Dengue virus
HM631855	Mexico: Yucatan	2007	2010	11053	Dengue virus
AF169678	None	None	2000	11060	Dengue virus
KU509271	India	2006	2017	11060	Dengue virus
EF105387	Nigeria	1966	2007	11060	Dengue virus
EU482696	Nicaragua: Managua	2006	2008	11060	Dengue virus
MW512373	Singapore	2012	2021	11060	Dengue virus
JQ920479	French Polynesia: Tahiti	1996	2013	11069	Dengue virus
GQ868547	Brazil: Sao Paulo	2006	2009	11069	Dengue virus
GU131704	Viet Nam: South	2008	2009	11053	Dengue virus
KY586761	Thailand	1998	2017	12637	Dengue virus
FJ205879	Viet Nam: South	2007	2008	11060	Dengue virus
GQ868538	Mexico: Yucatan	2008	2009	11053	Dengue virus
KC762631	Indonesia: Makassar	2008	2015	11053	Dengue virus
